fecha,mes_venta,nombre_del_vendedor,nombre_del_supermercado,representante_de_compras,estado,ciudad,categoria,producto,presentacion,precio_unitario_usd,cantidad_comprada,valor_total_usd,forma_pago,tipo_producto
2024-03-11,2024-03,Zeller Sophie,Exquisite Foods Market,Rogers Harper,California,San Diego,Quesos,Queso en lonchas,Paquete 200g,3.8,543,2063.4,Tarjeta de crédito,Queso en lonchas
2024-07-26,2024-07,Smith Noah,The Food Barn,Tremblay Ana,Florida,Tampa,Otros,Suero de leche,Botella 1L,2.0,334,668.0,Tarjeta de débito,Suero de leche
2024-01-12,2024-01,Zeller Sophie,The Grocery Store,McBride Evelyn,California,San Diego,Quesos,Queso blanco,Bloque 500g,5.0,73,365.0,Tarjeta de débito,Queso blanco
2024-06-03,2024-06,Williams Chloe,Select Market,Bélanger Theodore,Nueva York,New York City,Yogur,Kumis,Botella 1L,2.5,658,1645.0,Efectivo,Kumis
2024-11-04,2024-11,Davis Olivia,Super Everything,Fraser Michael,California,San Francisco,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,667,3835.25,PayPal,Mantequilla clarificada (ghee)
2024-02-18,2024-02,Jackson George,Culinary Treasures,Koch Emma,Massachusetts,Boston,Yogur,Yogur con frutas,Individual,1.2,237,284.4,Transferencia bancaria,Yogur con frutas
2024-06-13,2024-06,Smith Noah,Hyper Foods,Brightman Abigail,Nueva York,Yonkers,Quesos,Queso en lonchas,Paquete 200g,3.8,811,3081.8,Tarjeta de débito,Queso en lonchas
2024-12-05,2024-12,Smith Noah,Culinary Treasures,Koch Emma,Florida,Tampa,Mantequilla,Mantequilla clarificada (ghee),Frasco 300ml,5.75,637,3662.75,Tarjeta de débito,Mantequilla clarificada (ghee)
2024-01-11,2024-01,Anderson James,Corner Delicatessen,Clark Eleonor,California,San Francisco,Mantequilla,Mantequilla sin sal,Paquete 454g,4.2,651,2734.2,Tarjeta de crédito,Mantequilla sin sal
2024-09-16,2024-09,Smith Noah,Central Supermarket,Smith Patricia,Nueva York,Rochester,Yogur,Yogur griego,Individual,1.5,240,360.0,Tarjeta de crédito,Yogur griego
2024-07-09,2024-07,Anderson James,Town Market,Gagnon James,Massachusetts,Springfield,Leche,Leche en polvo,Bolsa 800g,5.5,711,3910.5,PayPal,Leche en polvo
2024-12-09,2024-12,Davis Olivia,The Pantry,Wilson Ethan,Florida,Miami,Quesos,Queso blanco,Bloque 500g,5.0,497,2485.0,Efectivo,Queso blanco
2024-08-20,2024-08,Smith Noah,The Family Grocer,Brown Margaret,Texas,Houston,Leche,Leche condensada,Lata 397g,2.5,366,915.0,Efectivo,Leche condensada
2024-01-11,2024-01,Williams Chloe,Corner Delicatessen,Clark Eleonor,Massachusetts,Springfield,Quesos,Queso havarti,Bloque 200g,5.25,819,4299.75,PayPal,Queso havarti
2024-12-12,2024-12,Williams Chloe,Town Market,Gagnon James,Massachusetts,Lowell,Cremas,Queso crema,Tarrina 250g,2.8,446,1248.8,Transferencia bancaria,Queso crema
2024-06-13,2024-06,Zeller Sophie,The Family Grocer,Brown Margaret,Massachusetts,Lowell,Leche,Leche condensada,Lata 397g,2.5,644,1610.0,Tarjeta de débito,Leche condensada
2024-01-19,2024-01,Jackson George,The Family Grocer,Brown Margaret,Massachusetts,Worcester,Leche,Leche saborizada,Botella 500 ml,1.5,488,732.0,Tarjeta de crédito,Leche saborizada
2024-02-10,2024-02,Davis Olivia,The House of Flavor,McAllister Alexander,Massachusetts,Worcester,Leche,Leche entera,Individual,0.75,743,557.25,Tarjeta de débito,Leche entera
2024-02-18,2024-02,Williams Chloe,The Grocery Store,McBride Evelyn,California,San Francisco,Mantequilla,Mantequilla con sal,Paquete 454g,4.0,157,628.0,Efectivo,Mantequilla con sal
2024-05-14,2024-05,Davis Olivia,Red Rose,Martinez Patricia,Florida,Tampa,Quesos,Queso brie,Cuña 200g,6.0,364,2184.0,PayPal,Queso brie
2024-09-30,2024-09,Lee Charlotte,Exquisite Foods Market,Rogers Harper,Texas,Austin,Cremas,Crema batida,Spray 250ml,3.75,22,82.5,Tarjeta de débito,Crema batida
2024-01-26,2024-01,Zeller Sophie,The Little Bee,Hunter Mark,Texas,Dallas,Yogur,Yogur griego,Individual,1.5,548,822.0,PayPal,Yogur griego
2024-10-15,2024-10,Williams Chloe,Town Market,Gagnon James,Massachusetts,Springfield,Quesos,Queso en lonchas,Paquete 200g,3.8,336,1276.8,Transferencia bancaria,Queso en lonchas
2024-02-22,2024-02,Lee Charlotte,Culinary Treasures,Koch Emma,Nueva York,Rochester,Yogur,Yogur con frutas,Individual,1.2,295,354.0,Tarjeta de débito,Yogur con frutas
2024-04-18,2024-04,Anderson James,Exquisite Foods Market,Rogers Harper,Massachusetts,Boston,Yogur,Yogur natural,Individual,1.0,1000,1000.0,PayPal,Yogur natural
